dexNum,name,species,type1,type2,ability1ID,ability2ID,hiddenAbilityID,height,weight
37,Vulpix,Fox,Fire,,Flash Fire,,Drought,0.6,9.9
38,Ninetales,Fox,Fire,,Flash Fire,,Drought,1.1,19.9
39,Jigglypuff,Balloon,Normal,Fairy,Cute Charm,Competitive,Friend Guard,0.5,5.5
40,Wigglytuff,Balloon,Normal,Fairy,Cute Charm,Competitive,Frisk,1,12
41,Zubat,Bat,Poison,Flying,Inner Focus,,Infiltrator,0.8,7.5
42,Golbat,Bat,Poison,Flying,Inner Focus,,Infiltrator,1.6,55
43,Oddish,Weed,Grass,Poison,Chlorophyll,,Run Away,0.5,5.4
44,Gloom,Weed,Grass,Poison,Chlorophyll,,Stench,0.8,8.6
45,Vileplume,Flower,Grass,Poison,Chlorophyll,,Effect Spore,1.2,18.6
46,Paras,Mushroom,Bug,Grass,Effect Spore,Dry Skin,Damp,0.3,5.4
47,Parasect,Mushroom,Bug,Grass,Effect Spore,Dry Skin,Damp,1,29.5
48,Venonat,Insect,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,1,30
49,Venomoth,Poison Moth,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,1.5,12.5
50,Diglett,Mole,Ground,,Sand Veil,Arena Trap,Sand Force,0.2,0.8
51,Dugtrio,Mole,Ground,,Sand Veil,Arena Trap,Sand Force,0.7,33.3
52,Meowth,Scratch Cat,Normal,,Pickup,Technician,Unnerve,0.4,4.2
53,Persian,Classy Cat,Normal,,Limber,Technician,Unnerve,1,32
54,Psyduck,Duck,Water,,Damp,Cloud Nine,Swift Swim,0.8,19.6
55,Golduck,Duck,Water,,Damp,Cloud Nine,Swift Swim,1.7,76.6
56,Mankey,Pig Monkey,Fighting,,Vital Spirit,Anger Point,Defiant,0.5,28
57,Primeape,Pig Monkey,Fighting,,Vital Spirit,Anger Point,Defiant,1,32
58,Growlithe,Puppy,Fire,,Intimidate,Flash Fire,Justified,0.7,19
59,Arcanine,Legendary,Fire,,Intimidate,Flash Fire,Justified,1.9,155
60,Poliwag,Tadpole,Water,,Water Absorb,Damp,Swift Swim,0.6,12.4
61,Poliwhirl,Tadpole,Water,,Water Absorb,Damp,Swift Swim,1,20
62,Poliwrath,Tadpole,Water,Fighting,Water Absorb,Damp,Swift Swim,1.3,54
63,Abra,Psi,Psychic,,Synchronize,Inner Focus,Magic Guard,0.9,19.5
64,Kadabra,Psi,Psychic,,Synchronize,Inner Focus,Magic Guard,1.3,56.5
65,Alakazam,Psi,Psychic,,Synchronize,Inner Focus,Magic Guard,1.5,48
66,Machop,Superpower,Fighting,,Guts,No Guard,Steadfast,0.8,19.5
67,Machoke,Superpower,Fighting,,Guts,No Guard,Steadfast,1.5,70.5
68,Machamp,Superpower,Fighting,,Guts,No Guard,Steadfast,1.6,130
69,Bellsprout,Flower,Grass,Poison,Chlorophyll,,Gluttony,0.7,4
70,Weepinbell,Flycatcher,Grass,Poison,Chlorophyll,,Gluttony,1,6.4
71,Victreebel,Flycatcher,Grass,Poison,Chlorophyll,,Gluttony,1.7,15.5
72,Tentacool,Jellyfish,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,0.9,45.5
73,Tentacruel,Jellyfish,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,1.6,55
74,Geodude,Rock,Rock,Ground,Rock Head,Sturdy,Sand Veil,0.4,20
75,Graveler,Rock,Rock,Ground,Rock Head,Sturdy,Sand Veil,1,105
76,Golem,Megaton,Rock,Ground,Rock Head,Sturdy,Sand Veil,1.4,300
77,Ponyta,Fire Horse,Fire,,Run Away,Flash Fire,Flame Body,1,30
78,Rapidash,Fire Horse,Fire,,Run Away,Flash Fire,Flame Body,1.7,95
79,Slowpoke,Dopey,Water,Psychic,Oblivious,Own Tempo,Regenerator,1.2,36
80,Slowbro,Hermit Crab,Water,Psychic,Oblivious,Own Tempo,Regenerator,1.6,78.5
81,Magnemite,Magnet,Electric,Steel,Magnet Pull,Sturdy,Analytic,0.3,6
82,Magneton,Magnet,Electric,Steel,Magnet Pull,Sturdy,Analytic,1,60
83,Farfetch'd,Wild Duck,Normal,Flying,Keen Eye,Inner Focus,Defiant,0.8,15
84,Doduo,Twin Bird,Normal,Flying,Run Away,Early Bird,Tangled Feet,1.4,39.2
85,Dodrio,Triple Bird,Normal,Flying,Run Away,Early Bird,Tangled Feet,1.8,85.2
86,Seel,Sea Lion,Water,,Thick Fat,Hydration,Ice Body,1.1,90
87,Dewgong,Sea Lion,Water,Ice,Thick Fat,Hydration,Ice Body,1.7,120
88,Grimer,Sludge,Poison,,Stench,Sticky Hold,Poison Touch,0.9,30
89,Muk,Sludge,Poison,,Stench,Sticky Hold,Poison Touch,1.2,30
90,Shellder,Bivalve,Water,,Shell Armor,Skill Link,Overcoat,0.3,4
91,Cloyster,Bivalve,Water,Ice,Shell Armor,Skill Link,Overcoat,1.5,132.5
92,Gastly,Gas,Ghost,Poison,Levitate,,,1.3,0.1
93,Haunter,Gas,Ghost,Poison,Levitate,,,1.6,0.1
94,Gengar,Shadow,Ghost,Poison,Cursed Body,,,1.5,40.5
95,Onix,Rock Snake,Rock,Ground,Rock Head,Sturdy,Weak Armor,8.8,210
96,Drowzee,Hypnosis,Psychic,,Insomnia,Forewarn,Inner Focus,1,32.4
97,Hypno,Hypnosis,Psychic,,Insomnia,Forewarn,Inner Focus,1.6,75.6
98,Krabby,River Crab,Water,,Hyper Cutter,Shell Armor,Sheer Force,0.4,6.5
99,Kingler,Pincer,Water,,Hyper Cutter,Shell Armor,Sheer Force,1.3,60
100,Voltorb,Ball,Electric,,Soundproof,Static,Aftermath,0.5,10.4
101,Electrode,Ball,Electric,,Soundproof,Static,Aftermath,1.2,66.6
102,Exeggcute,Egg,Grass,Psychic,Chlorophyll,,Harvest,0.4,2.5
103,Exeggutor,Coconut,Grass,Psychic,Chlorophyll,,Harvest,2,120
104,Cubone,Lonely,Ground,,Rock Head,Lightning Rod,Battle Armor,0.4,6.5
105,Marowak,Bone Keeper,Ground,,Rock Head,Lightning Rod,Battle Armor,1,45
106,Hitmonlee,Kicking,Fighting,,Limber,Reckless,Unburden,1.5,49.8
107,Hitmonchan,Punching,Fighting,,Keen Eye,Iron Fist,Inner Focus,1.4,50.2
108,Lickitung,Licking,Normal,,Own Tempo,Oblivious,Cloud Nine,1.2,65.5
109,Koffing,Poison Gas,Poison,,Levitate,Neutralizing Gas,Stench,0.6,1
110,Weezing,Poison Gas,Poison,,Levitate,Neutralizing Gas,Stench,1.2,9.5
111,Rhyhorn,Spikes,Ground,Rock,Lightning Rod,Rock Head,Reckless,1,115
112,Rhydon,Drill,Ground,Rock,Lightning Rod,Rock Head,Reckless,1.9,120
113,Chansey,Egg,Normal,,Natural Cure,Serene Grace,Healer,1.1,34.6
114,Tangela,Vine,Grass,,Chlorophyll,Leaf Guard,Regenerator,1,35
115,Kangaskhan,Parent,Normal,,Early Bird,Scrappy,Inner Focus,2.2,80
116,Horsea,Dragon,Water,,Swift Swim,Sniper,Damp,0.4,8
117,Seadra,Dragon,Water,,Poison Point,Sniper,Damp,1.2,25
118,Goldeen,Goldfish,Water,,Swift Swim,Water Veil,Lightning Rod,0.6,15
119,Seaking,Goldfish,Water,,Swift Swim,Water Veil,Lightning Rod,1.3,39
120,Staryu,Star Shape,Water,,Illuminate,Natural Cure,Analytic,0.8,34.5
121,Starmie,Mysterious,Water,Psychic,Illuminate,Natural Cure,Analytic,1.1,80
122,Mr. Mime,Barrier,Psychic,Fairy,Soundproof,Filter,Technician,1.3,54.5
123,Scyther,Mantis,Bug,Flying,Swarm,Technician,Steadfast,1.5,56
124,Jynx,Human Shape,Ice,Psychic,Oblivious,Forewarn,Dry Skin,1.4,40.6
125,Electabuzz,Electric,Electric,,Static,,Vital Spirit,1.1,30
126,Magmar,Spitfire,Fire,,Flame Body,,Vital Spirit,1.3,44.5
127,Pinsir,Stag Beetle,Bug,,Hyper Cutter,Mold Breaker,Moxie,1.5,55
128,Tauros,Wild Bull,Normal,,Intimidate,Anger Point,Sheer Force,1.4,88.4
129,Magikarp,Fish,Water,,Swift Swim,,Rattled,0.9,10
130,Gyarados,Atrocious,Water,Flying,Intimidate,,Moxie,6.5,235
131,Lapras,Transport,Water,Ice,Water Absorb,Shell Armor,Hydration,2.5,220
132,Ditto,Transform,Normal,,Limber,,Imposter,0.3,4
133,Eevee,Evolution,Normal,,Run Away,Adaptability,Anticipation,0.3,6.5
134,Vaporeon,Bubble Jet,Water,,Water Absorb,,Hydration,1,29
135,Jolteon,Lightning,Electric,,Volt Absorb,,Quick Feet,0.8,24.5
136,Flareon,Flame,Fire,,Flash Fire,,Guts,0.9,25
137,Porygon,Virtual,Normal,,Trace,Download,Analytic,0.8,36.5
138,Omanyte,Spiral,Rock,Water,Swift Swim,Shell Armor,Weak Armor,0.4,7.5
139,Omastar,Spiral,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1,35
140,Kabuto,Shellfish,Rock,Water,Swift Swim,Battle Armor,Weak Armor,0.5,11.5
141,Kabutops,Shellfish,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1.3,40.5
142,Aerodactyl,Fossil,Rock,Flying,Rock Head,Pressure,Unnerve,1.8,59
143,Snorlax,Sleeping,Normal,,Immunity,Thick Fat,Gluttony,2.1,460
144,Articuno,Freeze,Ice,Flying,Pressure,,Snow Cloak,1.7,55.4
145,Zapdos,Electric,Electric,Flying,Pressure,,Static,1.6,52.6
146,Moltres,Flame,Fire,Flying,Pressure,,Flame Body,2,60
147,Dratini,Dragon,Dragon,,Shed Skin,,Marvel Scale,1.8,3.3
148,Dragonair,Dragon,Dragon,,Shed Skin,,Marvel Scale,4,16.5
149,Dragonite,Dragon,Dragon,Flying,Inner Focus,,Multiscale,2.2,210
150,Mewtwo,Genetic,Psychic,,Pressure,,Unnerve,2,122
151,Mew,New Species,Psychic,,Synchronize,,,0.4,4
152,,,,,,,,,
153,,,,,,,,,
154,,,,,,,,,
155,,,,,,,,,
156,,,,,,,,,
157,,,,,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,,,,,,,,,
162,,,,,,,,,
163,,,,,,,,,
164,,,,,,,,,
165,,,,,,,,,
166,,,,,,,,,
167,,,,,,,,,
168,,,,,,,,,
169,,,,,,,,,
170,,,,,,,,,
171,,,,,,,,,
172,,,,,,,,,
173,,,,,,,,,
174,,,,,,,,,
175,,,,,,,,,
176,,,,,,,,,
177,,,,,,,,,
178,,,,,,,,,
179,,,,,,,,,
180,,,,,,,,,
181,,,,,,,,,
182,,,,,,,,,
183,,,,,,,,,
184,,,,,,,,,
185,,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,,,,,,,,,
196,,,,,,,,,
197,,,,,,,,,
198,,,,,,,,,
199,,,,,,,,,
200,,,,,,,,,
201,,,,,,,,,
202,,,,,,,,,
203,,,,,,,,,
204,,,,,,,,,
205,,,,,,,,,
206,,,,,,,,,
207,,,,,,,,,
208,,,,,,,,,
209,,,,,,,,,
210,,,,,,,,,
211,,,,,,,,,
212,,,,,,,,,
213,,,,,,,,,
214,,,,,,,,,
215,,,,,,,,,
216,,,,,,,,,
217,,,,,,,,,
218,,,,,,,,,
219,,,,,,,,,
220,,,,,,,,,
221,,,,,,,,,
222,,,,,,,,,
223,,,,,,,,,
224,,,,,,,,,
225,,,,,,,,,
226,,,,,,,,,
227,,,,,,,,,
228,,,,,,,,,
229,,,,,,,,,
230,,,,,,,,,
231,,,,,,,,,
232,,,,,,,,,
233,,,,,,,,,
234,,,,,,,,,
235,,,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,,,,,,,,,
239,,,,,,,,,
240,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
243,,,,,,,,,
244,,,,,,,,,
245,,,,,,,,,
246,,,,,,,,,
247,,,,,,,,,
248,,,,,,,,,
249,,,,,,,,,
250,,,,,,,,,
251,,,,,,,,,
252,,,,,,,,,
253,,,,,,,,,
254,,,,,,,,,
255,,,,,,,,,
256,,,,,,,,,
257,,,,,,,,,
258,,,,,,,,,
259,,,,,,,,,
260,,,,,,,,,
261,,,,,,,,,
262,,,,,,,,,
263,,,,,,,,,
264,,,,,,,,,
265,,,,,,,,,
266,,,,,,,,,
267,,,,,,,,,
268,,,,,,,,,
269,,,,,,,,,
270,,,,,,,,,
271,,,,,,,,,
272,,,,,,,,,
273,,,,,,,,,
274,,,,,,,,,
275,,,,,,,,,
276,,,,,,,,,
277,,,,,,,,,
278,,,,,,,,,
279,,,,,,,,,
280,,,,,,,,,
281,,,,,,,,,
282,,,,,,,,,
283,,,,,,,,,
284,,,,,,,,,
285,,,,,,,,,
286,,,,,,,,,
287,,,,,,,,,
288,,,,,,,,,
289,,,,,,,,,
290,,,,,,,,,
291,,,,,,,,,
292,,,,,,,,,
293,,,,,,,,,
294,,,,,,,,,
295,,,,,,,,,
296,,,,,,,,,
297,,,,,,,,,
298,,,,,,,,,
299,,,,,,,,,
300,,,,,,,,,
301,,,,,,,,,
302,,,,,,,,,
303,,,,,,,,,
304,,,,,,,,,
305,,,,,,,,,
306,,,,,,,,,
307,,,,,,,,,
308,,,,,,,,,
309,,,,,,,,,
310,,,,,,,,,
311,,,,,,,,,
312,,,,,,,,,
313,,,,,,,,,
314,,,,,,,,,
315,,,,,,,,,
316,,,,,,,,,
317,,,,,,,,,
318,,,,,,,,,
319,,,,,,,,,
320,,,,,,,,,
321,,,,,,,,,
322,,,,,,,,,
323,,,,,,,,,
324,,,,,,,,,
325,,,,,,,,,
326,,,,,,,,,
327,,,,,,,,,
328,,,,,,,,,
329,,,,,,,,,
330,,,,,,,,,
331,,,,,,,,,
332,,,,,,,,,
333,,,,,,,,,
334,,,,,,,,,
335,,,,,,,,,
336,,,,,,,,,
337,,,,,,,,,
338,,,,,,,,,
339,,,,,,,,,
340,,,,,,,,,
341,,,,,,,,,
342,,,,,,,,,
343,,,,,,,,,
344,,,,,,,,,
345,,,,,,,,,
346,,,,,,,,,
347,,,,,,,,,
348,,,,,,,,,
349,,,,,,,,,
350,,,,,,,,,
351,,,,,,,,,
352,,,,,,,,,
353,,,,,,,,,
354,,,,,,,,,
355,,,,,,,,,
356,,,,,,,,,
357,,,,,,,,,
358,,,,,,,,,
359,,,,,,,,,
360,,,,,,,,,
361,,,,,,,,,
362,,,,,,,,,
363,,,,,,,,,
364,,,,,,,,,
365,,,,,,,,,
366,,,,,,,,,
367,,,,,,,,,
368,,,,,,,,,
369,,,,,,,,,
370,,,,,,,,,
371,,,,,,,,,
372,,,,,,,,,
373,,,,,,,,,
374,,,,,,,,,
375,,,,,,,,,
376,,,,,,,,,
377,,,,,,,,,
378,,,,,,,,,
379,,,,,,,,,
380,,,,,,,,,
381,,,,,,,,,
382,,,,,,,,,
383,,,,,,,,,
384,,,,,,,,,
385,,,,,,,,,
386,,,,,,,,,
387,,,,,,,,,
388,,,,,,,,,
389,,,,,,,,,
390,,,,,,,,,
391,,,,,,,,,
392,,,,,,,,,
393,,,,,,,,,
394,,,,,,,,,
395,,,,,,,,,
396,,,,,,,,,
397,,,,,,,,,
398,,,,,,,,,
399,,,,,,,,,
400,,,,,,,,,
401,,,,,,,,,
402,,,,,,,,,
403,,,,,,,,,
404,,,,,,,,,
405,,,,,,,,,
406,,,,,,,,,
407,,,,,,,,,
408,,,,,,,,,
409,,,,,,,,,
410,,,,,,,,,
411,,,,,,,,,
412,,,,,,,,,
413,,,,,,,,,
414,,,,,,,,,
415,,,,,,,,,
416,,,,,,,,,
417,,,,,,,,,
418,,,,,,,,,
419,,,,,,,,,
420,,,,,,,,,
421,,,,,,,,,
422,,,,,,,,,
423,,,,,,,,,
424,,,,,,,,,
425,,,,,,,,,
426,,,,,,,,,
427,,,,,,,,,
428,,,,,,,,,
429,,,,,,,,,
430,,,,,,,,,
431,,,,,,,,,
432,,,,,,,,,
433,,,,,,,,,
434,,,,,,,,,
435,,,,,,,,,
436,,,,,,,,,
437,,,,,,,,,
438,,,,,,,,,
439,,,,,,,,,
440,,,,,,,,,
441,,,,,,,,,
442,,,,,,,,,
443,,,,,,,,,
444,,,,,,,,,
445,,,,,,,,,
446,,,,,,,,,
447,,,,,,,,,
448,,,,,,,,,
449,,,,,,,,,
450,,,,,,,,,
451,,,,,,,,,
452,,,,,,,,,
453,,,,,,,,,
454,,,,,,,,,
455,,,,,,,,,
456,,,,,,,,,
457,,,,,,,,,
458,,,,,,,,,
459,,,,,,,,,
460,,,,,,,,,
461,,,,,,,,,
462,,,,,,,,,
463,,,,,,,,,
464,,,,,,,,,
465,,,,,,,,,
466,,,,,,,,,
467,,,,,,,,,
468,,,,,,,,,
469,,,,,,,,,
470,,,,,,,,,
471,,,,,,,,,
472,,,,,,,,,
473,,,,,,,,,
474,,,,,,,,,
475,,,,,,,,,
476,,,,,,,,,
477,,,,,,,,,
478,,,,,,,,,
479,,,,,,,,,
480,,,,,,,,,
481,,,,,,,,,
482,,,,,,,,,
483,,,,,,,,,
484,,,,,,,,,
485,,,,,,,,,
486,,,,,,,,,
487,,,,,,,,,
488,,,,,,,,,
489,,,,,,,,,
490,,,,,,,,,
491,,,,,,,,,
492,,,,,,,,,
493,,,,,,,,,
494,,,,,,,,,
495,,,,,,,,,
496,,,,,,,,,
497,,,,,,,,,
498,,,,,,,,,
499,,,,,,,,,
500,,,,,,,,,
501,,,,,,,,,
502,,,,,,,,,
503,,,,,,,,,
504,,,,,,,,,
505,,,,,,,,,
506,,,,,,,,,
507,,,,,,,,,
508,,,,,,,,,
509,,,,,,,,,
510,,,,,,,,,
511,,,,,,,,,
512,,,,,,,,,
513,,,,,,,,,
514,,,,,,,,,
515,,,,,,,,,
516,,,,,,,,,
517,,,,,,,,,
518,,,,,,,,,
519,,,,,,,,,
520,,,,,,,,,
521,,,,,,,,,
522,,,,,,,,,
523,,,,,,,,,
524,,,,,,,,,
525,,,,,,,,,
526,,,,,,,,,
527,,,,,,,,,
528,,,,,,,,,
529,,,,,,,,,
530,,,,,,,,,
531,,,,,,,,,
532,,,,,,,,,
533,,,,,,,,,
534,,,,,,,,,
535,,,,,,,,,
536,,,,,,,,,
537,,,,,,,,,
538,,,,,,,,,
539,,,,,,,,,
540,,,,,,,,,
541,,,,,,,,,
542,,,,,,,,,
543,,,,,,,,,
544,,,,,,,,,
545,,,,,,,,,
546,,,,,,,,,
547,,,,,,,,,
548,,,,,,,,,
549,,,,,,,,,
550,,,,,,,,,
551,,,,,,,,,
552,,,,,,,,,
553,,,,,,,,,
554,,,,,,,,,
555,,,,,,,,,
556,,,,,,,,,
557,,,,,,,,,
558,,,,,,,,,
559,,,,,,,,,
560,,,,,,,,,
561,,,,,,,,,
562,,,,,,,,,
563,,,,,,,,,
564,,,,,,,,,
565,,,,,,,,,
566,,,,,,,,,
567,,,,,,,,,
568,,,,,,,,,
569,,,,,,,,,
570,,,,,,,,,
571,,,,,,,,,
572,,,,,,,,,
573,,,,,,,,,
574,,,,,,,,,
575,,,,,,,,,
576,,,,,,,,,
577,,,,,,,,,
578,,,,,,,,,
579,,,,,,,,,
580,,,,,,,,,
581,,,,,,,,,
582,,,,,,,,,
583,,,,,,,,,
584,,,,,,,,,
585,,,,,,,,,
586,,,,,,,,,
587,,,,,,,,,
588,,,,,,,,,
589,,,,,,,,,
590,,,,,,,,,
591,,,,,,,,,
592,,,,,,,,,
593,,,,,,,,,
594,,,,,,,,,
595,,,,,,,,,
596,,,,,,,,,
597,,,,,,,,,
598,,,,,,,,,
599,,,,,,,,,
600,,,,,,,,,
601,,,,,,,,,
602,,,,,,,,,
603,,,,,,,,,
604,,,,,,,,,
605,,,,,,,,,
606,,,,,,,,,
607,,,,,,,,,
608,,,,,,,,,
609,,,,,,,,,
610,,,,,,,,,
611,,,,,,,,,
612,,,,,,,,,
613,,,,,,,,,
614,,,,,,,,,
615,,,,,,,,,
616,,,,,,,,,
617,,,,,,,,,
618,,,,,,,,,
619,,,,,,,,,
620,,,,,,,,,
621,,,,,,,,,
622,,,,,,,,,
623,,,,,,,,,
624,,,,,,,,,
625,,,,,,,,,
626,,,,,,,,,
627,,,,,,,,,
628,,,,,,,,,
629,,,,,,,,,
630,,,,,,,,,
631,,,,,,,,,
632,,,,,,,,,
633,,,,,,,,,
634,,,,,,,,,
635,,,,,,,,,
636,,,,,,,,,
637,,,,,,,,,
638,,,,,,,,,
639,,,,,,,,,
640,,,,,,,,,
641,,,,,,,,,
642,,,,,,,,,
643,,,,,,,,,
644,,,,,,,,,
645,,,,,,,,,
646,,,,,,,,,
647,,,,,,,,,
648,,,,,,,,,
649,,,,,,,,,
650,,,,,,,,,
651,,,,,,,,,
652,,,,,,,,,
653,,,,,,,,,
654,,,,,,,,,
655,,,,,,,,,
656,,,,,,,,,
657,,,,,,,,,
658,,,,,,,,,
659,,,,,,,,,
660,,,,,,,,,
661,,,,,,,,,
662,,,,,,,,,
663,,,,,,,,,
664,,,,,,,,,
665,,,,,,,,,
666,,,,,,,,,
667,,,,,,,,,
668,,,,,,,,,
669,,,,,,,,,
670,,,,,,,,,
671,,,,,,,,,
672,,,,,,,,,
673,,,,,,,,,
674,,,,,,,,,
675,,,,,,,,,
676,,,,,,,,,
677,,,,,,,,,
678,,,,,,,,,
679,,,,,,,,,
680,,,,,,,,,
681,,,,,,,,,
682,,,,,,,,,
683,,,,,,,,,
684,,,,,,,,,
685,,,,,,,,,
686,,,,,,,,,
687,,,,,,,,,
688,,,,,,,,,
689,,,,,,,,,
690,,,,,,,,,
691,,,,,,,,,
692,,,,,,,,,
693,,,,,,,,,
694,,,,,,,,,
695,,,,,,,,,
696,,,,,,,,,
697,,,,,,,,,
698,,,,,,,,,
699,,,,,,,,,
700,,,,,,,,,
701,,,,,,,,,
702,,,,,,,,,
703,,,,,,,,,
704,,,,,,,,,
705,,,,,,,,,
706,,,,,,,,,
707,,,,,,,,,
708,,,,,,,,,
709,,,,,,,,,
710,,,,,,,,,
711,,,,,,,,,
712,,,,,,,,,
713,,,,,,,,,
714,,,,,,,,,
715,,,,,,,,,
716,,,,,,,,,
717,,,,,,,,,
718,,,,,,,,,
719,,,,,,,,,
720,,,,,,,,,
721,,,,,,,,,
722,,,,,,,,,
723,,,,,,,,,
724,,,,,,,,,
725,,,,,,,,,
726,,,,,,,,,
727,,,,,,,,,
728,,,,,,,,,
729,,,,,,,,,
730,,,,,,,,,
731,,,,,,,,,
732,,,,,,,,,
733,,,,,,,,,
734,,,,,,,,,
735,,,,,,,,,
736,,,,,,,,,
737,,,,,,,,,
738,,,,,,,,,
739,,,,,,,,,
740,,,,,,,,,
741,,,,,,,,,
742,,,,,,,,,
743,,,,,,,,,
744,,,,,,,,,
745,,,,,,,,,
746,,,,,,,,,
747,,,,,,,,,
748,,,,,,,,,
749,,,,,,,,,
750,,,,,,,,,
751,,,,,,,,,
752,,,,,,,,,
753,,,,,,,,,
754,,,,,,,,,
755,,,,,,,,,
756,,,,,,,,,
757,,,,,,,,,
758,,,,,,,,,
759,,,,,,,,,
760,,,,,,,,,
761,,,,,,,,,
762,,,,,,,,,
763,,,,,,,,,
764,,,,,,,,,
765,,,,,,,,,
766,,,,,,,,,
767,,,,,,,,,
768,,,,,,,,,
769,,,,,,,,,
770,,,,,,,,,
771,,,,,,,,,
772,,,,,,,,,
773,,,,,,,,,
774,,,,,,,,,
775,,,,,,,,,
776,,,,,,,,,
777,,,,,,,,,
778,,,,,,,,,
779,,,,,,,,,
780,,,,,,,,,
781,,,,,,,,,
782,,,,,,,,,
783,,,,,,,,,
784,,,,,,,,,
785,,,,,,,,,
786,,,,,,,,,
787,,,,,,,,,
788,,,,,,,,,
789,,,,,,,,,
790,,,,,,,,,
791,,,,,,,,,
792,,,,,,,,,
793,,,,,,,,,
794,,,,,,,,,
795,,,,,,,,,
796,,,,,,,,,
797,,,,,,,,,
798,,,,,,,,,
799,,,,,,,,,
800,,,,,,,,,
801,,,,,,,,,
802,,,,,,,,,
803,,,,,,,,,
804,,,,,,,,,
805,,,,,,,,,
806,,,,,,,,,
807,,,,,,,,,
808,,,,,,,,,
809,,,,,,,,,
810,,,,,,,,,
811,,,,,,,,,
812,,,,,,,,,
813,,,,,,,,,
814,,,,,,,,,
815,,,,,,,,,
816,,,,,,,,,
817,,,,,,,,,
818,,,,,,,,,
819,,,,,,,,,
820,,,,,,,,,
821,,,,,,,,,
822,,,,,,,,,
823,,,,,,,,,
824,,,,,,,,,
825,,,,,,,,,
826,,,,,,,,,
827,,,,,,,,,
828,,,,,,,,,
829,,,,,,,,,
